Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description
event-ticket,Üpark Payday 2026 — Event-Ticket,"<p>Einlass zum Skate-Contest am <strong>11.07.2026</strong> im Skatepark Bremen Überseestadt (14:00–19:00).</p><ul><li>Check-in am Unlock-Booth</li><li>Inkl. Basic Pack (1 Standard-Karte)</li><li>Zugang zu allen Challenges &amp; Tombola-Ziehung</li><li>Ab 19:00: Grill &amp; Networking</li></ul>",Üpark Payday,Event Ticket,"event,ticket,registration",true,Title,Default,UPAY-TICKET-001,0,shopify,200,15.00,true,true,,Üpark Payday 2026 Ticket,Event-Ticket inkl. Basic Pack — Skatepark Bremen Überseestadt
single-pack,Sponsor Single Pack,"<p><strong>1 Sponsor-Karte</strong> im Yu-Gi-Oh! Spell-Card-Stil + <strong>1 Tombola-Los</strong>.</p><p>Karten aus dem Co-Host-Challenge-Pool (Cash for Tricks, Young Gun, Shop Battle u.a.). Physische Ausgabe am Unlock-Booth.</p>",Üpark Payday,Card Pack,"pack,single,tombola",true,Title,Default,UPAY-SINGLE-001,50,shopify,100,8.00,true,true,,Sponsor Single Pack — Üpark Payday,Tombola-Lose &amp; Sponsor-Karte für Üpark Payday 2026
double-pack,Sponsor Double Pack,"<p><strong>2 Sponsor-Karten</strong> + <strong>3 Tombola-Lose</strong>.</p><p>Ideal für Fahrer, die mehrere Challenges aktivieren wollen. Deluxe-Option mit Goldfolie-Rahmen auf Anfrage (limitiert).</p>",Üpark Payday,Card Pack,"pack,double,tombola",true,Title,Default,UPAY-DOUBLE-001,80,shopify,60,18.00,true,true,,Sponsor Double Pack — Üpark Payday,2 Karten + 3 Tombola-Lose
triple-pack,Sponsor Triple Pack,"<p><strong>3 Sponsor-Karten + 1 Bonus-Card</strong> + <strong>7 Tombola-Lose</strong>.</p><p>Maximale Tombola-Chancen und voller Zugang zum Challenge-Spell-Pool. Limitierte Auflage.</p>",Üpark Payday,Card Pack,"pack,triple,tombola,premium",true,Title,Default,UPAY-TRIPLE-001,120,shopify,30,35.00,true,true,,Sponsor Triple Pack — Üpark Payday,3 Karten + Bonus + 7 Tombola-Lose
payday-deck-chrome-838,Payday Deck — CHROME 8.38,"<p>Physisches Payday Deck, CHROME Camo, 8.38"" Breite.</p><p>Druck-PDF: payday_CHROME.pdf</p>",Pay Day Skateboards,Deck,"deck,chrome,838",true,Size,8.38,UPAY-CHROME-838,1200,shopify,5,89.00,true,true,,Payday CHROME Deck 8.38,CHROME Camo — 8.38 inch
payday-deck-chrome-850,Payday Deck — CHROME 8.5,"<p>Physisches Payday Deck, CHROME Camo, 8.5"" Breite.</p>",Pay Day Skateboards,Deck,"deck,chrome,850",true,Size,8.5,UPAY-CHROME-850,1200,shopify,5,94.00,true,true,,Payday CHROME Deck 8.5,CHROME Camo — 8.5 inch
payday-deck-neon-838,Payday Deck — NEON 8.38,"<p>NEON Camo, 8.38"". PDF: payday_NEON.pdf</p>",Pay Day Skateboards,Deck,"deck,neon,838",true,Size,8.38,UPAY-NEON-838,1200,shopify,4,89.00,true,true,,Payday NEON 8.38,NEON Camo Deck
payday-deck-neon-850,Payday Deck — NEON 8.5,"<p>NEON Camo, 8.5""</p>",Pay Day Skateboards,Deck,"deck,neon,850",true,Size,8.5,UPAY-NEON-850,1200,shopify,4,94.00,true,true,,Payday NEON 8.5,NEON Camo Deck
payday-deck-linear-838,Payday Deck — PAYDAY Linear 8.38,"<p>PAYDAY Linear Gradient, 8.38"". PDF: payday_PAYDAY_Linear.pdf</p>",Pay Day Skateboards,Deck,"deck,payday,linear,838",true,Size,8.38,UPAY-LIN-838,1200,shopify,4,89.00,true,true,,Payday Linear 8.38,PAYDAY Linear Deck
payday-deck-linear-850,Payday Deck — PAYDAY Linear 8.5,"<p>PAYDAY Linear, 8.5""</p>",Pay Day Skateboards,Deck,"deck,payday,linear,850",true,Size,8.5,UPAY-LIN-850,1200,shopify,4,94.00,true,true,,Payday Linear 8.5,PAYDAY Linear Deck
